,Year,District,Province,Spare,Length,Width,Amenities,Direction,Price
360,2022,17,1,64.0,15.0,4.3,0,0,1700.0
361,2022,17,1,59.0,4.3,14.0,1,2,1980.0
362,2022,272,1,52.0,13.86,3.75,0,0,630.0
363,2022,274,1,70.0,14.0,5.0,0,0,3800.0
364,2022,269,1,90.0,18.0,5.0,0,0,630.0
365,2022,274,1,250.0,25.0,10.0,0,0,12000.0
366,2022,17,1,60.0,12.0,5.0,0,0,2400.0
367,2022,271,1,1440.0,56.0,27.0,0,0,5100.0
368,2022,4,1,60.0,14.634146341463415,4.1,1,0,2650.0
369,2022,18,1,53.0,10.6,5.0,0,0,2890.0
370,2022,17,1,51.0,10.0,5.0,0,0,2480.0
371,2022,9,1,50.0,10.0,5.4,0,0,8500.0
372,2022,274,1,55.0,11.0,5.0,0,0,1550.0
373,2022,17,1,82.0,16.5,5.0,0,0,6600.0
374,2022,5,1,136.0,16.0,8.6,0,0,11900.0
375,2022,276,1,225.0,22.0,10.0,0,0,1000.0
376,2022,16,1,82.0,20.0,4.0,0,0,1480.0
377,2022,4,1,160.0,32.0,5.0,0,0,5450.0
378,2022,250,1,132.0,22.0,6.0,1,0,900.0
379,2022,4,1,102.0,20.4,5.0,1,0,5400.0
380,2022,274,1,72.0,14.4,5.0,0,0,3000.0
381,2022,274,1,72.0,14.4,5.0,0,0,3000.0
382,2022,18,1,56.0,11.2,5.0,0,0,2880.0
383,2022,268,1,60.0,12.0,5.0,0,0,7900.0
384,2022,17,1,89.0,19.0,4.42,0,0,1950.0
385,2022,7,1,132.0,22.0,6.0,0,0,900.0
386,2022,268,1,60.0,12.0,5.0,0,0,7900.0
387,2022,276,1,70.0,20.0,4.2,0,0,1500.0
388,2022,17,1,42.0,10.0,4.0,0,0,1600.0
389,2022,17,1,102.6,4.85,21.5,1,3,3080.0
390,2022,17,1,60.0,12.0,4.92,0,0,4950.0
391,2022,274,1,56.0,11.2,5.0,0,0,4250.0
392,2022,18,1,320.0,24.615384615384617,13.0,0,0,25000.0
393,2022,274,1,56.0,11.2,5.0,0,0,4350.0
394,2022,18,1,56.0,11.2,5.0,0,0,2900.0
395,2022,17,1,44.0,11.0,4.0,0,0,1540.0
396,2022,17,1,30.0,10.0,3.0,0,0,2300.0
397,2022,6,1,27.0,7.2,3.8,0,0,3100.0
398,2022,5,1,44.0,12.2,3.6,0,0,8150.0
399,2022,16,1,48.0,8.0,6.0,0,0,770.0
400,2022,17,1,52.0,14.0,4.0,0,0,1150.0
401,2022,273,1,57.0,14.25,4.0,0,0,1480.0
402,2022,17,1,54.5,4.3,12.7,1,3,3020.0
403,2022,16,1,90.0,14.0,7.4,0,0,987.0
404,2022,16,1,48.0,15.0,3.0,0,0,2140.0
405,2022,16,1,48.0,13.0,4.5,0,0,876.0
406,2022,4,1,54.0,11.0,4.5,0,0,1950.0
407,2022,4,1,53.0,10.0,5.0,0,0,4500.0
408,2022,277,1,140.0,18.0,8.0,0,0,3000.0
409,2022,5,1,34.0,6.8,5.0,0,0,3850.0
410,2022,17,1,52.0,13.0,4.0,0,0,2240.0
411,2022,17,1,57.0,16.0,4.1,1,3,1890.0
412,2022,17,1,72.4,17.0,4.2,1,3,2320.0
413,2022,268,1,52.0,3.5,15.0,0,0,2950.0
414,2022,17,1,85.0,17.0,5.0,1,3,2600.0
415,2022,268,1,50.0,12.0,4.0,0,0,5750.0
416,2022,16,1,77.0,16.0,4.3,0,0,910.0
417,2022,268,1,50.0,12.0,4.0,0,0,6000.0
418,2022,4,1,28.0,6.0,5.0,0,0,3200.0
419,2022,16,1,100.0,24.0,4.1,0,0,3500.0
420,2022,16,1,107.0,26.0,4.0,0,0,2840.0
421,2022,16,1,77.0,17.0,4.5,0,0,1350.0
422,2022,271,1,1332.0,37.0,29.0,0,0,3500.0
423,2022,276,1,220.0,17.0,13.0,1,3,5280.0
424,2022,17,1,64.0,15.0,4.28,0,0,1670.0
425,2022,17,1,41.0,10.0,4.0,0,0,1970.0
426,2022,17,1,69.0,17.0,4.0,0,0,3160.0
427,2022,16,1,46.0,7.77,5.9,0,0,1150.0
428,2022,273,1,43.0,8.6,5.0,0,0,1070.0
429,2022,2,1,132.0,22.0,6.0,0,0,900.0
430,2022,16,1,523.0,33.0,13.0,0,0,6800.0
431,2022,16,1,150.0,18.0,7.5,0,0,2100.0
432,2022,276,1,61.0,12.0,5.0,0,0,1230.0
433,2022,274,1,105.0,21.0,5.0,0,0,1600.0
434,2022,18,1,58.0,11.6,5.0,0,0,3120.0
435,2022,6,1,150.0,22.0,7.0,0,0,44500.0
436,2022,17,1,43.0,10.0,4.52,0,0,1600.0
437,2022,6,1,150.0,22.0,7.0,0,0,44500.0
438,2022,4,1,80.0,16.0,5.0,0,0,6400.0
439,2022,16,1,100.0,20.0,5.0,0,0,1700.0
440,2022,4,1,75.0,15.0,5.0,0,0,9000.0
441,2022,4,1,40.0,10.0,4.0,0,0,4750.0
442,2022,4,1,46.0,11.0,4.5,0,0,2500.0
443,2022,4,1,50.0,12.3,3.99,1,0,2400.0
444,2022,17,1,86.0,17.0,5.0,0,0,1550.0
445,2022,282,1,132.0,22.0,6.0,1,0,900.0
446,2022,17,1,62.0,9.0,7.0,0,0,2550.0
447,2022,17,1,38.0,6.0,6.3,0,0,2130.0
448,2022,16,1,208.0,12.0,16.2,0,0,2190.0
449,2022,5,1,250.0,25.0,10.0,0,0,200.0
450,2022,276,1,1420.0,284.0,5.0,0,0,31240.0
451,2022,17,1,63.0,16.0,4.0,0,0,4000.0
452,2022,4,1,95.0,17.0,5.6,0,0,7950.0
453,2022,268,1,50.0,12.0,4.0,0,0,5750.0
454,2022,274,1,50.0,10.0,5.0,1,0,5000.0
455,2022,16,1,63.0,13.3,4.7,0,0,1150.0
456,2022,3,1,54.0,12.0,4.0,0,0,12300.0
457,2022,17,1,48.0,13.0,3.8,0,0,15370.0
458,2022,3,1,176.0,12.0,11.0,0,0,55800.0
459,2022,18,1,37.0,9.0,4.0,1,0,3150.0
460,2022,3,1,102.0,12.0,8.0,0,0,23900.0
