,Year,District,Province,Spare,Length,Width,Amenities,Direction,Price
311,2022,274,1,96.0,19.2,5.0,0,0,6.0
312,2022,4,1,75.0,14.0,6.0,0,0,7.5
313,2022,17,1,60.0,12.0,5.0,1,2,2.7
314,2022,274,1,130.0,26.0,5.0,0,0,8.5
315,2022,274,1,100.0,20.0,5.0,0,0,6.0
316,2022,274,1,100.0,20.0,5.0,0,0,6.0
317,2022,17,1,58.0,4.3,13.5,1,3,2.0
318,2022,277,1,10000.0,100.0,100.0,0,0,3.0
319,2022,250,1,132.0,22.0,6.0,1,0,0.9
320,2022,21,1,50.0,12.0,4.2,0,0,5.0
321,2022,18,1,231.0,46.2,5.0,0,0,14.0
322,2022,4,1,85.0,20.3,4.5,0,0,6.0
323,2022,9,1,45.0,10.9,4.7,0,0,6.6
324,2022,19,1,31.0,96.0,6.4,0,0,3.1
325,2022,274,1,129.0,25.8,5.0,0,0,8.35
326,2022,4,1,60.0,9.7,6.2,0,0,8.5
327,2022,21,1,130.0,23.0,5.5,0,0,16.95
328,2022,21,1,129.0,24.0,5.5,0,0,16.95
329,2022,19,1,129.0,24.0,5.5,0,0,16.95
330,2022,4,1,100.0,25.0,4.0,0,0,16.0
331,2022,16,1,90.0,18.0,5.0,0,0,1.49
332,2022,274,1,129.0,25.8,5.0,0,0,8.35
333,2022,16,1,125.0,19.0,5.8,0,0,1.44
334,2022,276,1,75.0,11.6,5.3,1,2,1.3
335,2022,278,1,67.0,10.0,6.7,0,0,0.2
336,2022,276,1,80.0,10.7,7.5,0,0,1.0
337,2022,17,1,55.0,14.0,3.8,1,1,2.86
338,2022,271,1,1440.0,56.0,27.0,0,0,5.1
339,2022,19,1,52.0,13.0,4.0,0,0,6.5
340,2022,17,1,44.0,11.5,3.8,0,0,0.86
341,2022,269,1,70.0,12.0,6.0,0,0,0.49
342,2022,21,1,120.0,15.0,8.0,0,0,7.9
343,2022,1,1,35.0,7.0,5.0,0,0,6.5
344,2022,4,1,120.0,24.0,5.0,0,0,17.4
345,2022,8,1,80.0,16.0,5.0,0,0,11.5
346,2022,9,1,52.0,8.8,6.0,0,0,12.5
347,2022,20,1,35.0,7.0,5.0,0,0,0.935
348,2022,4,1,72.0,12.0,6.0,0,0,7.2
349,2022,268,1,50.0,10.0,5.0,0,0,5.2
350,2022,4,1,212.0,23.0,9.0,0,0,57.0
351,2022,17,1,54.0,11.0,5.0,0,0,1.61
352,2022,4,1,37.0,9.3,4.0,1,0,3.15
353,2022,18,1,80.0,16.0,5.0,1,0,3.2
354,2022,274,1,425.0,25.0,17.0,0,0,14.25
355,2022,9,1,50.0,13.5,3.7,0,0,7.9
356,2022,268,1,50.0,11.9,4.2,0,0,7.3
357,2022,271,1,1440.0,56.0,27.0,0,0,5.1
358,2022,17,1,52.0,12.0,4.0,0,0,1.85
359,2022,17,1,52.0,12.0,4.0,0,0,1.2
360,2022,17,1,64.0,15.0,4.3,0,0,1.7
361,2022,17,1,59.0,4.3,14.0,1,2,1.98
362,2022,272,1,52.0,13.86,3.75,0,0,0.63
363,2022,274,1,70.0,14.0,5.0,0,0,3.8
364,2022,269,1,90.0,18.0,5.0,0,0,0.63
365,2022,274,1,250.0,25.0,10.0,0,0,12.0
366,2022,17,1,60.0,12.0,5.0,0,0,2.4
367,2022,271,1,1440.0,56.0,27.0,0,0,5.1
368,2022,4,1,60.0,14.634146341463415,4.1,1,0,2.65
369,2022,18,1,53.0,10.6,5.0,0,0,2.89
370,2022,17,1,51.0,10.0,5.0,0,0,2.48
371,2022,9,1,50.0,10.0,5.4,0,0,8.5
372,2022,274,1,55.0,11.0,5.0,0,0,1.55
373,2022,17,1,82.0,16.5,5.0,0,0,6.6
374,2022,5,1,136.0,16.0,8.6,0,0,11.9
375,2022,276,1,225.0,22.0,10.0,0,0,1.0
376,2022,16,1,82.0,20.0,4.0,0,0,1.48
377,2022,4,1,160.0,32.0,5.0,0,0,5.45
378,2022,250,1,132.0,22.0,6.0,1,0,0.9
379,2022,4,1,102.0,20.4,5.0,1,0,5.4
380,2022,274,1,72.0,14.4,5.0,0,0,3.0
381,2022,274,1,72.0,14.4,5.0,0,0,3.0
382,2022,18,1,56.0,11.2,5.0,0,0,2.88
383,2022,268,1,60.0,12.0,5.0,0,0,7.9
384,2022,17,1,89.0,19.0,4.42,0,0,1.95
385,2022,7,1,132.0,22.0,6.0,0,0,0.9
386,2022,268,1,60.0,12.0,5.0,0,0,7.9
387,2022,276,1,70.0,20.0,4.2,0,0,1.5
388,2022,17,1,42.0,10.0,4.0,0,0,1.6
389,2022,17,1,102.6,4.85,21.5,1,3,3.08
390,2022,17,1,60.0,12.0,4.92,0,0,4.95
391,2022,274,1,56.0,11.2,5.0,0,0,4.25
392,2022,18,1,320.0,24.615384615384617,13.0,0,0,25.0
